empirical_id,country,sex,education,class,occupation,language,citizen,q263_empirical,q130_empirical,q121_empirical,q34_empirical,q63_empirical,q263_model,q130_model,thinking,q263_match,q130_match,valid,raw_response,backend,model,temperature,timestamp
1015,Argentina,woman,secondary education,working class,person who never had a job,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Quite good,Disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"Given that the respondent is a working-class woman with secondary education and no job history in Argentina, it is likely she was born in the country. People with this profile might feel vulnerable in the job market, especially if they have never worked, and may perceive immigrants as competition for limited job opportunities. Therefore, they might prefer more restrictive immigration policies.",True,True,True,"{
  ""thinking"": ""Given that the respondent is a working-class woman with secondary education and no job history in Argentina, it is likely she was born in the country. People with this profile might feel vulnerable in the job market, especially if they have never worked, and may perceive immigrants as competition for limited job opportunities. Therefore, they might prefer more restrictive immigration policies."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:17.460076
1016,Argentina,man,higher education,working class,sales worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"Being a working-class sales worker with higher education in Argentina, he is likely to be born in the country. Given the economic challenges and employment competition in Argentina, he might favor some restrictions on immigration to protect local job opportunities.",True,True,True,"{
  ""thinking"": ""Being a working-class sales worker with higher education in Argentina, he is likely to be born in the country. Given the economic challenges and employment competition in Argentina, he might favor some restrictions on immigration to protect local job opportunities."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:20.920357
1017,Argentina,woman,secondary education,lower middle class,person who never had a job,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"Based on her profile, it is likely that she was born in Argentina, as lower middle class individuals with secondary education and no employment history in Argentina tend to be native-born. Regarding immigration, she may feel threatened by job competition due to her lower middle class status and lack of employment, leading her to support more restrictive policies.",True,True,True,"{
  ""thinking"": ""Based on her profile, it is likely that she was born in Argentina, as lower middle class individuals with secondary education and no employment history in Argentina tend to be native-born. Regarding immigration, she may feel threatened by job competition due to her lower middle class status and lack of employment, leading her to support more restrictive policies."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:23.649690
1018,Argentina,man,secondary education,lower middle class,sales worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Neither agree nor disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a man born in Argentina with secondary education and a lower middle class status, it is likely that I am native to Argentina given these demographics. Concerns about job competition are common in the lower middle class, so I might favor limits on immigration to protect local job opportunities.",True,True,True,"{
  ""thinking"": ""As a man born in Argentina with secondary education and a lower middle class status, it is likely that I am native to Argentina given these demographics. Concerns about job competition are common in the lower middle class, so I might favor limits on immigration to protect local job opportunities."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:27.156213
1019,Argentina,woman,secondary education,lower middle class,person who never had a job,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Disagree,Do not trust very much,I am born in this country,Place strict limits on the number of foreigners who can come here,"A lower middle-class woman with secondary education who has never worked is likely to be born in Argentina, given the limited international mobility associated with this profile. Generally, concerns about job competition may prompt her to support restrictions on immigration, as economic opportunities may feel threatened by foreign workers.",True,True,True,"{
  ""thinking"": ""A lower middle-class woman with secondary education who has never worked is likely to be born in Argentina, given the limited international mobility associated with this profile. Generally, concerns about job competition may prompt her to support restrictions on immigration, as economic opportunities may feel threatened by foreign workers."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:31.480106
1020,Argentina,man,secondary education,working class,sales worker,Spanish; Castilian,Yes,I am born in this country,Let people come as long as there are jobs available,"Neither good, nor bad",Neither agree nor disagree,Don't know,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a working-class man with secondary education working in a sales position in Argentina, it's likely he was born in the country, consistent with typical migration patterns. There may be a concern about job competition from foreigners, so he may prefer some restrictions on immigration.",True,False,True,"{
  ""thinking"": ""As a working-class man with secondary education working in a sales position in Argentina, it's likely he was born in the country, consistent with typical migration patterns. There may be a concern about job competition from foreigners, so he may prefer some restrictions on immigration."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:34.871906
1021,Argentina,woman,higher education,lower middle class,semi-skilled worker,Spanish; Castilian,Yes,I am born in this country,Let people come as long as there are jobs available,"Neither good, nor bad",Agree,Trust somewhat,I am born in this country,Let people come as long as there are jobs available,"Based on her residence in Argentina combined with her status as a woman with higher education and a lower middle-class background, it is likely that she was born in the country. Given Argentina's struggle with economic issues, semi-skilled workers might feel economic pressure and prioritize job security, leading her to prefer controlled immigration policies.",True,True,True,"{
  ""thinking"": ""Based on her residence in Argentina combined with her status as a woman with higher education and a lower middle-class background, it is likely that she was born in the country. Given Argentina's struggle with economic issues, semi-skilled workers might feel economic pressure and prioritize job security, leading her to prefer controlled immigration policies."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",openai,gpt-4o,1.0,2026-05-13T19:33:38.591866
1022,Argentina,man,secondary education,working class,unskilled worker,Spanish; Castilian,Yes,I am born in this country,Let people come as long as there are jobs available,"Neither good, nor bad",Disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a working-class man in Argentina with secondary education, it's highly likely he was born in Argentina. Concerns about job security common among unskilled workers could lead him to prefer placing restrictions on immigration to protect local employment opportunities.",True,False,True,"{
  ""thinking"": ""As a working-class man in Argentina with secondary education, it's highly likely he was born in Argentina. Concerns about job security common among unskilled workers could lead him to prefer placing restrictions on immigration to protect local employment opportunities."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:42.027142
1023,Argentina,man,low education,working class,unskilled worker,Spanish; Castilian,Yes,I am born in this country,Let people come as long as there are jobs available,"Neither good, nor bad",Agree,Trust completely,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a working-class man with low education in Argentina, it is statistically likely he was born in the country. He may feel job competition from immigrants due to his occupation as an unskilled worker, leading to support for limiting immigration.",True,False,True,"{
  ""thinking"": ""As a working-class man with low education in Argentina, it is statistically likely he was born in the country. He may feel job competition from immigrants due to his occupation as an unskilled worker, leading to support for limiting immigration."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:46.357975
1024,Argentina,woman,higher education,working class,sales worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a woman with higher education living in Argentina and from the working class, it is likely she was born in this country since most people in Argentina are native-born. Given her working-class status and occupation as a sales worker, she might be concerned about job competition and economic stability, leading her to support policies that place limits on immigration to protect local employment opportunities.",True,True,True,"{
  ""thinking"": ""As a woman with higher education living in Argentina and from the working class, it is likely she was born in this country since most people in Argentina are native-born. Given her working-class status and occupation as a sales worker, she might be concerned about job competition and economic stability, leading her to support policies that place limits on immigration to protect local employment opportunities."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:49.296932
1025,Argentina,woman,higher education,lower middle class,clerical worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Quite bad,Agree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a woman with higher education living in Argentina and belonging to the lower middle class, it is likely she was born in the country, considering historical migration patterns and local demographics. Given her status and the economic pressures of a clerical worker, she might be concerned about job competition, leading her to favor limits on immigration in order to protect local employment opportunities.",True,True,True,"{
  ""thinking"": ""As a woman with higher education living in Argentina and belonging to the lower middle class, it is likely she was born in the country, considering historical migration patterns and local demographics. Given her status and the economic pressures of a clerical worker, she might be concerned about job competition, leading her to favor limits on immigration in order to protect local employment opportunities."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:54.037168
1026,Argentina,man,low education,working class,skilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Agree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a man with low education from the working class in Argentina, it's likely he was born in Argentina. Working-class people with low education might feel more economically vulnerable and thus more protective over job opportunities. They may prefer strict immigration controls to ensure job availability for locals.",True,True,True,"{
  ""thinking"": ""As a man with low education from the working class in Argentina, it's likely he was born in Argentina. Working-class people with low education might feel more economically vulnerable and thus more protective over job opportunities. They may prefer strict immigration controls to ensure job availability for locals."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:33:56.974749
1027,Argentina,woman,secondary education,working class,unskilled worker,Spanish; Castilian,Yes,I am born in this country,Let people come as long as there are jobs available,Quite good,Disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a working-class woman with only secondary education in Argentina, it is most likely that she would have been born in the country due to lower migration rates in this socioeconomic segment. Concerned about job competition, she might favor stricter immigration policies to protect local employment opportunities for unskilled workers like herself.",True,False,True,"{
  ""thinking"": ""As a working-class woman with only secondary education in Argentina, it is most likely that she would have been born in the country due to lower migration rates in this socioeconomic segment. Concerned about job competition, she might favor stricter immigration policies to protect local employment opportunities for unskilled workers like herself."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:34:01.323288
1028,Argentina,woman,higher education,lower class,sales worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Agree,Trust somewhat,I am born in this country,Let people come as long as there are jobs available,"As a woman from the lower class in Argentina with higher education working as a sales worker, it is likely she is born in this country, considering Argentina's socio-economic dynamics. Regarding immigration, she might be concerned about job competition, thus favoring some level of restriction rather than completely open policies.",True,False,True,"{
  ""thinking"": ""As a woman from the lower class in Argentina with higher education working as a sales worker, it is likely she is born in this country, considering Argentina's socio-economic dynamics. Regarding immigration, she might be concerned about job competition, thus favoring some level of restriction rather than completely open policies."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",openai,gpt-4o,1.0,2026-05-13T19:34:05.202057
1029,Argentina,man,secondary education,lower middle class,sales worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,Quite bad,Agree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a lower middle-class sales worker in Argentina with secondary education, it is likely that I was born in the country given the strong local population base. Concerns about job competition in lower and middle-skilled positions might lead to a more restrictive view on immigration, thus advocating for limits to protect local job opportunities.",True,True,True,"{
  ""thinking"": ""As a lower middle-class sales worker in Argentina with secondary education, it is likely that I was born in the country given the strong local population base. Concerns about job competition in lower and middle-skilled positions might lead to a more restrictive view on immigration, thus advocating for limits to protect local job opportunities."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:34:08.107193
1030,Argentina,man,secondary education,lower middle class,higher administrative,Other,Yes,I am an immigrant to this country (born outside this country),Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Disagree,Do not trust very much,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a man living in Argentina with secondary education and a lower middle class background, it is likely that he was born in the country, as the majority of Argentinians are native-born. People in the lower middle class may feel economically insecure and could perceive an influx of foreign workers as a threat to job availability, leading to a preference for placing restrictions on immigration.",False,True,True,"{
  ""thinking"": ""As a man living in Argentina with secondary education and a lower middle class background, it is likely that he was born in the country, as the majority of Argentinians are native-born. People in the lower middle class may feel economically insecure and could perceive an influx of foreign workers as a threat to job availability, leading to a preference for placing restrictions on immigration."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:34:12.110271
1031,Argentina,woman,secondary education,lower middle class,sales worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Neither agree nor disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"In Argentina, most individuals with secondary education and in the lower middle class are likely to be native-born rather than immigrants. Given the economic challenges and competition for jobs, there may be a tendency to prefer limiting immigration to protect local employment opportunities.",True,True,True,"{
  ""thinking"": ""In Argentina, most individuals with secondary education and in the lower middle class are likely to be native-born rather than immigrants. Given the economic challenges and competition for jobs, there may be a tendency to prefer limiting immigration to protect local employment opportunities."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:34:15.687533
1032,Argentina,man,higher education,upper middle class,professional or technical worker,Spanish; Castilian,Yes,I am born in this country,Let people come as long as there are jobs available,Quite good,Neither agree nor disagree,Trust somewhat,I am born in this country,Let people come as long as there are jobs available,"Belonging to the upper middle class and being a professional worker in Argentina, it is likely that he was born in the country. People in his position with higher education and professional occupations might recognize the economic benefits of controlled immigration, preferring to allow immigration as long as job opportunities are available.",True,True,True,"{
  ""thinking"": ""Belonging to the upper middle class and being a professional worker in Argentina, it is likely that he was born in the country. People in his position with higher education and professional occupations might recognize the economic benefits of controlled immigration, preferring to allow immigration as long as job opportunities are available."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",openai,gpt-4o,1.0,2026-05-13T19:34:18.704277
1033,Argentina,woman,secondary education,lower middle class,unskilled worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Neither agree nor disagree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a lower middle-class woman with only secondary education working in an unskilled job in Argentina, it is likely she was born in this country given the demographic and economic context. People in similar profiles may be concerned about job competition from immigrants, leading to the preference for strict immigration controls.",True,True,True,"{
  ""thinking"": ""As a lower middle-class woman with only secondary education working in an unskilled job in Argentina, it is likely she was born in this country given the demographic and economic context. People in similar profiles may be concerned about job competition from immigrants, leading to the preference for strict immigration controls."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:34:21.731352
1034,Argentina,woman,secondary education,upper middle class,sales worker,Spanish; Castilian,Yes,I am born in this country,Let anyone come who wants to,"Neither good, nor bad",Disagree,Trust somewhat,I am born in this country,Let people come as long as there are jobs available,"As an upper middle class sales worker with secondary education, it's likely she was born in Argentina, considering the educational and work opportunities available domestically. With regard to immigration, she may be open to immigration for economic reasons, provided it doesn't threaten job availability, reflecting a pragmatic approach typical of someone in a more economically comfortable social class.",True,False,True,"{
  ""thinking"": ""As an upper middle class sales worker with secondary education, it's likely she was born in Argentina, considering the educational and work opportunities available domestically. With regard to immigration, she may be open to immigration for economic reasons, provided it doesn't threaten job availability, reflecting a pragmatic approach typical of someone in a more economically comfortable social class."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",openai,gpt-4o,1.0,2026-05-13T19:34:26.102201
1035,Argentina,man,secondary education,upper middle class,semi-skilled worker,Spanish; Castilian,Yes,I am born in this country,Let people come as long as there are jobs available,"Neither good, nor bad",Don't know,Don't know,I am born in this country,Place strict limits on the number of foreigners who can come here,"Given the respondent's upper middle class status and semi-skilled occupation in Argentina, it's likely he is a native-born citizen, both due to the socio-economic stability associated with upper middle class status and the relative rarity of this combination among recent immigrants. His views on immigration would likely favor a controlled approach, reflecting a concern for job security and social stability common in this demographic.",True,False,True,"{
  ""thinking"": ""Given the respondent's upper middle class status and semi-skilled occupation in Argentina, it's likely he is a native-born citizen, both due to the socio-economic stability associated with upper middle class status and the relative rarity of this combination among recent immigrants. His views on immigration would likely favor a controlled approach, reflecting a concern for job security and social stability common in this demographic."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:34:30.100804
1036,Argentina,woman,secondary education,working class,clerical worker,Spanish; Castilian,Yes,I am born in this country,Place strict limits on the number of foreigners who can come here,"Neither good, nor bad",Agree,Trust somewhat,I am born in this country,Place strict limits on the number of foreigners who can come here,"As a woman from the working class in Argentina with a secondary education, it is most likely that she was born in Argentina. Given her occupation as a clerical worker, she might feel that job opportunities could be limited, influencing her to prefer some control over immigration. Working-class individuals may often favor immigration policies that prioritize jobs for locals.",True,True,True,"{
  ""thinking"": ""As a woman from the working class in Argentina with a secondary education, it is most likely that she was born in Argentina. Given her occupation as a clerical worker, she might feel that job opportunities could be limited, influencing her to prefer some control over immigration. Working-class individuals may often favor immigration policies that prioritize jobs for locals."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Place strict limits on the number of foreigners who can come here""
}",openai,gpt-4o,1.0,2026-05-13T19:34:34.175970
1037,Argentina,man,secondary education,upper middle class,sales worker,Spanish; Castilian,Yes,I am born in this country,Let people come as long as there are jobs available,"Neither good, nor bad",Agree,Trust completely,I am born in this country,Let people come as long as there are jobs available,"As an upper middle class man with secondary education working in sales in Argentina, it is likely that I was born in the country. People in my socioeconomic bracket may support controlled immigration policies to protect job opportunities, reflecting a common view that the government should manage immigration based on economic needs.",True,True,True,"{
  ""thinking"": ""As an upper middle class man with secondary education working in sales in Argentina, it is likely that I was born in the country. People in my socioeconomic bracket may support controlled immigration policies to protect job opportunities, reflecting a common view that the government should manage immigration based on economic needs."",
  ""Q263"": ""I am born in this country"",
  ""Q130"": ""Let people come as long as there are jobs available""
}",openai,gpt-4o,1.0,2026-05-13T19:34:37.860417
